,mean,std,min,25%,50%,75%,max
Dice,0.7655090019458886,0.0623862406582402,0.6945386201180517,0.74241741824637,0.7902962163746883,0.8009941928598069,0.8116921693449255
FN,5607.707762557078,3590.1513111190516,2039.972602739726,3801.6301369863013,5563.287671232877,7391.575342465754,9219.86301369863
FP,4813.7397260273965,3717.9562986227734,2095.027397260274,2695.3424657534247,3295.6575342465753,6173.095890410958,9050.534246575342
IoU,0.6664111261159763,0.06641217688432256,0.5897394022102376,0.646598543391275,0.7034576845723124,0.7047469880688457,0.7060362915653791
TN,8890430.228310501,25711.89490601529,8860976.821917808,8881448.684931505,8901920.547945205,8905156.93150685,8908393.315068493
TP,27148.32420091325,18730.429892068754,15471.684931506848,16346.095890410958,17220.50684931507,32986.64383561644,48752.78082191781
n_pred,31962.063926940642,22427.717500371604,17566.712328767124,19041.438356164384,20516.164383561645,39159.7397260274,57803.31506849315
n_ref,32756.03196347032,21996.749597006987,17511.657534246577,20147.72602739726,22783.794520547945,40378.21917808219,57972.643835616436
