Region	Metric_Type	mean	median	std	min	max	count
ET	Dice	0.754418899347251	0.819536060094308	0.18898372060735694	0.1355829153368293	0.9560730852977848	46
ET	Jaccard	0.6354170736133701	0.6942521653733192	0.20285294569835563	0.0727213435514311	0.9158429309875836	46
TC	Dice	0.6816516750748037	0.7889790057821491	0.26255246702111623	0.0004239983041127	0.9440373581062744	51
TC	Jaccard	0.567268404553793	0.6514990322622036	0.2607181919550535	0.0002120441052798	0.8940063981934537	51
WT	Dice	0.853804705768566	0.8818564362527007	0.12134872995586907	0.3415298891648295	0.9662863200420776	53
WT	Jaccard	0.7600495773954279	0.7886790791848326	0.1476565069392989	0.2059306869225722	0.934771725262836	53
